id,date,title,source,judge,type,outlet,article_hint,search_query
2177,2022.04.25,"미국 8일간 코로나 검사 건수, 한국 8주 건수보다 많다",  폭스뉴스와 가진 화상 타운홀 미팅 형식의 인터뷰(1분 35초부터)출처: 코로나19 TF의 백악관 브리핑(13분 38초부터),전혀 사실 아님,TYPE_D,,,"미국 8일간 코로나 검사 건수, 한국 8주 건수보다 많다"
2176,2020.03.26,조주빈은 '박사 본체'가 아니라 진범이 만든 동영상을 배포하는 '박사 클론'이다?, 인터넷 커뮤니티 및 SNS,전혀 사실 아님,SKIP,,,
2175,2020.03.25,조주빈이 성착취물 공유방인 '박사방'의 진범이 아니다?, 인터넷 커뮤니티 및 sns ,대체로 사실 아님,SKIP,,,
2174,2022.04.25,날짜별 코로나19 감염 증상이 있다, 페이스북 게시글 출처: 인터넷 커뮤니티,전혀 사실 아님,SKIP,,,
2173,2020.03.25,n번방 가담자 '범죄단체 조직죄'로 처벌 가능하다? , 언론사 자체 문제제기 ,사실,TYPE_C,,,n번방 가담자 '범죄단체 조직죄'로 처벌 가능하다?
2172,2020.03.25,"“텔레그램 n번방 용의자, 포토라인에 세울 수 있다”", 언론사 자체 문제 제기,판단 유보,TYPE_C,,,"“텔레그램 n번방 용의자, 포토라인에 세울 수 있다”"
2171,2020.03.24,변종 코로나19가 급성 패혈증 유발한다, 인터넷 커뮤니티출처: 인터넷 커뮤니티,전혀 사실 아님,SKIP,,,
2170,2020.04.02,성착취 'n번방' 운영자·이용자 신상공개 가능하다, 언론사 자체 문제 제기,판단 유보,TYPE_C,,,성착취 'n번방' 운영자·이용자 신상공개 가능하다
2169,2020.03.24,텔레그램 n번방 가입자들 신상공개는 어렵다? , 언론사 자체 검증,대체로 사실,SKIP,,,
2168,2020.03.24,"'재외국민 투표, 날짜 바꿔 4월 15일에 하고 현지에서 개표'는 가능?", 언론사 자체 문제제기,절반의 사실,TYPE_C,,,"'재외국민 투표, 날짜 바꿔 4월 15일에 하고 현지에서 개표'는 가능?"
2167,2020.03.24,"복지부 '모바일 자가진단 앱'에 대해 ""여권 있는 사람들만 자가진단 한다?""", 인터넷커뮤니티,전혀 사실 아님,SKIP,,,
2164,2020.03.24,한국 진단 검사 부정확하다," 인터넷 커뮤니티, 단체 채팅방 등",판단 유보,SKIP,,,
2163,2020.03.23,소셜미디어에 퍼진 '코로나19 진료 명세서' 진짜일까?, 인터넷 커뮤니티 및 SNS,대체로 사실,SKIP,,,
2161,2020.03.23,"코로나19 확진자 동선공개, 개인정보보호법 위반?", 인터넷 커뮤니티 및 SNS,전혀 사실 아님,SKIP,,,
2160,2020.03.23,'조국 사태' 이후 변경된 검찰의 인권보호수사규칙으로 N번방 피의자의 신상공개와 언론노출(포토라인 세우기)이 불가능해졌다., 3월23일 정원석 미래통합당 선거대책위원회 상근대변인 논평,대체로 사실 아님,TYPE_D,,,'조국 사태' 이후 변경된 검찰의 인권보호수사규칙으로 N번방 피의자의 신상공개와 언론노출(포토라인 세우기)이 불가능해졌다.
2159,2020.03.23,"변이한 코로나19 유전자, 진단키트로 못 잡는다", 인터넷 커뮤니티,대체로 사실 아님,SKIP,,,
2158,2020.03.23,"""로밍 정보 전세계 공유하면 감염병 확산 방지 가능""



", 다보스 포럼 등 발표,대체로 사실,TYPE_D,,,"""로밍 정보 전세계 공유하면 감염병 확산 방지 가능"""
2157,2020.03.23,개학 연기 조치는 고등학교 3학년 대입에 불리하게 작용한다 , 언론 보도,대체로 사실,SKIP,,,
2156,2020.03.22,"""코로나19 확진자, 19일 치료받고 퇴원시 본인부담금 4만원가량""", 페이스북 게시물(코로나19 확진자의 진료비 영수증),사실,SKIP,,,
2155,2020.03.23,"""여론조사때 지지 정당 밝혔더니 전화 끊어…여론 조작한다""", 커뮤니티출처: 유튜브 영상,전혀 사실 아님,SKIP,,,
2154,2020.03.20,"""한국 코로나19 진단방식은 부적절하다""", 마크 그린 의원 청문회에서 주장,대체로 사실 아님,SKIP,,,
2153,2022.04.29,"""개학연기로 인해 초등학교 여름방학이 4일뿐이다""", 언론보도출처: 인터넷 커뮤니티,대체로 사실 아님,SKIP,,,
2152,2020.03.19,A형이 코로나19에 가장 취약하고 O형이 상대적으로 강하다, 언론 보도,대체로 사실 아님,SKIP,,,
2150,2020.03.19,사회적 거리두기 그만해도 된다, YTN라디오 '노영희의 출발 새아침',대체로 사실 아님,TYPE_B,YTN,,사회적 거리두기 그만해도 된다
2149,2020.03.18,"""사회적 거리두기, 이제 그만 해도 된다""", https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001414094,판단 유보,SKIP,,,
2148,2020.03.18,소금으로 코로나19 바이러스를 예방·치료한다.," 인터넷 커뮤니티, 단체 채팅방 등",대체로 사실 아님,SKIP,,,
2147,2020.03.18,"""국회의장은 언제나 총선 제1당이 차지했다""", 국회의장 선출 관련한 이인영 더불어민주당 원내대표의 1월15일 tbs라디오 인터뷰 URL출처: 원내 제1당과 국회의장 선출 관련성 설명한 뉴스1 보도 URL출처: 원내 제1당과 국회의장 선출 관련 박지원 민생당 의원의 3월11일 MBC라디오 인터뷰 URL,대체로 사실 아님,TYPE_B,MBC,,"""국회의장은 언제나 총선 제1당이 차지했다"""
2146,2022.04.25,코로나19 지폐로도 전염된다  , 이란 보건장관 발언 보도 출처: WHO가 지폐 사용 경고했다는 국내 보도 출처: WHO가 지폐 사용 경고했다는 외신 보도출처: WHO가 지폐 사용 경고를 하지 않았다는 외신 반박 보도 ,절반의 사실,SKIP,,,
